First Name,Last Name,Gender,Age,Email,Phone,Education,Occupation,Experience (Years),Salary,Marital Status,Number of Children
Garry,Myers,Male,23,g.myers@randatmail.com,691-3715-79,Primary,Architect,10,8736,Married,1
Patrick,Murphy,Male,25,p.murphy@randatmail.com,549-0637-99,Master,Social Worker,11,4079,Single,0
Rosie,Owens,Female,30,r.owens@randatmail.com,182-0647-20,Lower secondary,Singer,2,3636,Single,3
Nicole,Kelly,Female,27,n.kelly@randatmail.com,348-9829-63,Primary,Historian,8,7586,Married,1
Ellia,Warren,Female,18,e.warren@randatmail.com,609-1834-47,Upper secondary,Chemist,3,5773,Married,1
Valeria,Robinson,Female,20,v.robinson@randatmail.com,421-5017-77,Primary,Geologist,10,5872,Married,4
Oliver,Farrell,Male,29,o.farrell@randatmail.com,942-7999-78,Primary,Singer,1,8715,Married,5
Rubie,Wright,Female,21,r.wright@randatmail.com,194-4977-03,Upper secondary,Veterinarian,5,5067,Single,4
Oliver,Morrison,Male,19,o.morrison@randatmail.com,226-8978-16,Primary,Agronomist,8,1272,Single,3
Eleanor,Montgomery,Female,19,e.montgomery@randatmail.com,636-9073-34,Master,Firefighter,0,4386,Married,0
Miley,Cameron,Female,18,m.cameron@randatmail.com,974-8989-88,Bachelor,Cook,9,7140,Married,3
Rosie,Williams,Female,18,r.williams@randatmail.com,563-6553-31,Primary,Singer,7,1954,Single,2
Miranda,Farrell,Female,21,m.farrell@randatmail.com,633-0205-45,Primary,Fashion Designer,9,9225,Married,3
Sarah,Armstrong,Female,27,s.armstrong@randatmail.com,999-2555-83,Master,Journalist,8,2047,Single,1
Brianna,Tucker,Female,27,b.tucker@randatmail.com,571-3122-72,Lower secondary,Economist,7,2506,Married,3
Maddie,Harris,Female,24,m.harris@randatmail.com,910-2713-50,Doctoral,Interpreter,6,9304,Single,4
Michelle,Harper,Female,21,m.harper@randatmail.com,079-1650-53,Primary,Jeweller,7,2263,Single,5
Kate,Richards,Female,25,k.richards@randatmail.com,103-6063-27,Primary,Manager,1,8688,Single,0
Ryan,Murphy,Male,27,r.murphy@randatmail.com,024-2898-43,Doctoral,Salesman,8,6220,Single,0
Natalie,Morrison,Female,19,n.morrison@randatmail.com,813-7623-60,Doctoral,Manager,7,820,Married,0
Alexia,Evans,Female,20,a.evans@randatmail.com,960-9290-42,Bachelor,Actor,0,1394,Single,5
